SequenceName	ClusterNumber
EPI_ISL_412866	-1
PRJNA1037681_SRR26780041_H3_freq0.09015448424142404	1
PRJNA1037681_SRR26779976_H3_freq0.1092118274566083	1
PRJNA1037681_SRR26780044_H2_freq0.4993961903820711	2
PRJNA1037681_SRR26780044_H1_freq0.5006038096179288	2
PRJNA1037681_SRR26780110_H2_freq0.20194533337020273	3
PRJNA1037681_SRR26780050_H2_freq0.2575995805425197	3
PRJNA1037681_SRR26780046_H2_freq0.18387367901902088	3
PRJNA1037681_SRR26780117_H1_freq1.0	3
PRJNA1037681_SRR26780213_H1_freq1.0	3
PRJNA1037681_SRR26780050_H1_freq0.7424004194574804	3
PRJNA1037681_SRR26780110_H1_freq0.7980546666297972	3
PRJNA1037681_SRR26780046_H1_freq0.8161263209809791	3
PRJNA1037681_SRR26779973_H1_freq0.801246675481247	-1
PRJNA1037681_SRR26779976_H1_freq0.669230774017093	-1
PRJNA1037681_SRR26779981_H1_freq0.7289970914233345	4
PRJNA1037681_SRR26780219_H1_freq0.8391451285185958	4
PRJNA1037681_SRR26780123_H1_freq0.8014507293795241	4
PRJNA1037681_SRR26780206_H1_freq0.6946174803270257	4
PRJNA1037681_SRR26780041_H1_freq0.6946593790986114	4
PRJNA1037681_SRR26780187_H1_freq0.7130290484420749	4
PRJNA1037681_SRR26780146_H1_freq0.6778673526702345	4
PRJNA1037681_SRR26779985_H1_freq0.7421956932422757	4
PRJNA1037681_SRR26780112_H1_freq0.5878352510678483	4
PRJNA1037681_SRR26780067_H1_freq0.5004746646779893	4
PRJNA1037681_SRR26780031_H1_freq0.6314167403432303	4
PRJNA1037681_SRR26779994_H1_freq0.7435829657337988	4
PRJNA1037681_SRR26780237_H1_freq0.7179327107350938	4
PRJNA1037681_SRR26780127_H1_freq0.6865493083437368	4
PRJNA1037681_SRR26780211_H1_freq0.7587321927000045	4
PRJNA1037681_SRR26779980_H1_freq0.8081702482091332	4
PRJNA1037681_SRR26780034_H1_freq0.7191127622041915	4
PRJNA1037681_SRR26780205_H1_freq0.7336107991455065	4
PRJNA1037681_SRR26779974_H1_freq0.7140218961845151	4
PRJNA1037681_SRR26780119_H1_freq0.7895157527822605	4
PRJNA1037681_SRR26780048_H1_freq0.5414835821019822	4
PRJNA1037681_SRR26780126_H1_freq0.6474913086872748	4
PRJNA1037681_SRR26780216_H1_freq0.7430072339107074	4
PRJNA1037681_SRR26779971_H1_freq0.7244699254025825	4
PRJNA1037681_SRR26780115_H1_freq0.818700926769409	5
PRJNA1037681_SRR26780042_H1_freq0.6392916370598041	5
PRJNA1037681_SRR26780033_H1_freq0.7798781373374821	6
PRJNA1037681_SRR26780211_H2_freq0.2412678072999955	6
PRJNA1037681_SRR26780219_H2_freq0.1608548714814041	6
PRJNA1037681_SRR26780187_H2_freq0.2869709515579251	6
PRJNA1037681_SRR26780237_H2_freq0.2820672892649062	6
PRJNA1037681_SRR26780112_H2_freq0.4121647489321518	6
PRJNA1037681_SRR26780115_H2_freq0.1812990732305911	6
PRJNA1037681_SRR26780033_H2_freq0.2201218626625177	6
PRJNA1037681_SRR26780205_H2_freq0.2663892008544935	6
PRJNA1037681_SRR26779974_H2_freq0.28597810381548494	6
PRJNA1037681_SRR26780034_H2_freq0.2808872377958085	6
PRJNA1037681_SRR26780042_H2_freq0.3607083629401958	6
PRJNA1037681_SRR26779976_H2_freq0.22155739852629872	6
PRJNA1037681_SRR26779981_H2_freq0.2710029085766656	6
PRJNA1037681_SRR26780031_H2_freq0.36858325965676964	6
PRJNA1037681_SRR26780041_H2_freq0.21518613665996453	6
PRJNA1037681_SRR26780067_H2_freq0.49952533532201066	6
PRJNA1037681_SRR26780146_H2_freq0.32213264732976554	6
PRJNA1037681_SRR26779994_H2_freq0.2564170342662013	6
PRJNA1037681_SRR26780206_H2_freq0.30538251967297425	6
PRJNA1037681_SRR26780123_H2_freq0.1985492706204759	6
PRJNA1037681_SRR26779985_H2_freq0.2578043067577243	6
PRJNA1037681_SRR26780127_H2_freq0.31345069165626327	6
PRJNA1037681_SRR26779980_H2_freq0.19182975179086675	6
PRJNA1037681_SRR26780217_H2_freq0.24146683038891778	6
PRJNA1037681_SRR26779989_H2_freq0.28519252802168665	6
PRJNA1037681_SRR26780119_H2_freq0.21048424721773948	6
PRJNA1037681_SRR26779973_H2_freq0.19875332451875302	6
PRJNA1037681_SRR26780048_H2_freq0.4585164178980177	6
PRJNA1037681_SRR26780216_H2_freq0.2569927660892926	6
PRJNA1037681_SRR26780126_H2_freq0.35250869131272533	6
PRJNA1037681_SRR26779971_H2_freq0.2755300745974175	6
PRJNA1037681_SRR26780217_H1_freq0.7585331696110822	7
PRJNA1037681_SRR26779989_H1_freq0.7148074719783134	7
